,il_plaka,ilce_adi,lat,lng
0,1,ADANA,37.0,35.3213333
5,6,ANKARA,39.92077,32.85411
6,7,ANTALYA,36.88414,30.70563
8,9,AYDIN,37.8444,27.8458
9,10,BALIKESİR,39.648369,27.88261
15,16,BURSA,40.18257,29.06687
19,20,DENİZLİ,37.77652,29.08639
20,21,DİYARBAKIR,37.91441,40.230629
24,25,ERZURUM,39.9043189,41.2678853
25,26,ESKİŞEHİR,39.784302,30.51922
26,27,GAZİANTEP,37.06622,37.38332
30,31,HATAY,36.4018488,36.3498097
33,34,İSTANBUL,41.00527,28.97696
34,35,İZMİR,38.41885,27.12872
37,38,KAYSERİ,38.7333333,35.4833333
40,41,KOCAELİ,40.8532704,29.8815203
41,42,KONYA,37.8666667,32.4833333
43,44,MALATYA,38.35519,38.30946
44,45,MANİSA,38.619099,27.428921
45,46,KAHRAMANMARAŞ,37.5833333,36.9333333
46,47,MARDİN,37.3122361,40.735112
54,55,SAMSUN,41.292782,36.33128
58,59,TEKİRDAĞ,40.9833333,27.5166667
60,61,TRABZON,41.0,39.7333333
64,65,VAN,38.4941667,43.38
