,category,name,main_price,has_multiple_markets,market_count,prices,page,average_price,min_price,max_price
0,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Balparmak Yayla Ova Çiçek Balı Çıtkapak 350 Gr,139.0,True,+2 Market,"[139.0, 149.0, 199.9]",1,162.63333333333333,139.0,199.9
1,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Carrefour Harnup Pekmez 390 Gr,71.5,False,,[],1,,,
2,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Activia Probiyotik Laktozsuz Sade Yoğurt 4x100 Gr,64.5,False,,[],1,,,
3,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Balparmak Anadolu Lezzetleri Kayseri Balı 460 Gr,399.9,False,,[],1,,,
4,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Beyaz Peynir 700 Gr Sütaş,145.0,False,,[],1,,,
5,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Mis Beyaz Peynir Keçi Sütlü 350 Gr,125.0,False,,[],1,,,
6,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Kürek Helva Kakaolu & Sade 300 Gr,46.5,False,,[],1,,,
7,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Tarım Kredi Yağlı Sele Salamura Xl-l(201-260)<02432>,225.0,False,,[],1,,,
8,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Carrefour Olgunlaştırılmış Beyaz Peynir 3 X 200 Gr Dilimli,179.9,False,,[],1,,,
9,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Bahçıvan Tam Yağlı Probiyotik Süzme Beyaz Peynir 500 Gr,141.9,False,,[],1,,,
10,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Tarsüt Klasik Peynir 600 Gr,149.0,False,,[],1,,,
11,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Krema Kakaolu Fındık & Grissini 52 Gr Nutbari,14.5,True,+1 Market,"[14.5, 14.5]",1,14.5,14.5,14.5
12,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Nesquik Laktozsuz Şeker İlavesiz Kakaolu Süt 180 Ml,28.75,False,,[],1,,,
13,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Ekici Lokum Kıvamında Beyaz Peynir Kg,264.9,False,,[],1,,,
14,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Tahsildaroğlu Geleneksel Tereyağ 125 Gr,76.95,False,,[],1,,,
15,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Tarsüt Krem Peynir 300 Gr,42.5,False,,[],1,,,
16,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Peynir Cheddar Dilimli 200 Gr Pınar,125.0,True,+2 Market,"[125.0, 136.13, 179.95]",1,147.02666666666667,125.0,179.95
17,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Koska 320 Gr Fındık Püreli Tahin Pekmez,150.95,False,,[],1,,,
18,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Helva Sade 1000 Gr Torku,195.0,False,,[],1,,,
19,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Carrefour Otlu Beyaz Peynir 250 Gr,105.5,False,,[],1,,,
20,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Balparmak Balkovan Çiçek Balı 460 Gr,175.0,False,,[],1,,,
21,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Kürek Helva Kakaolu & Sade 300 Gr Tatlan,46.5,False,,[],1,,,
22,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Taciroğlu Tam Yağlı Taze Tava Peyniri 600 Gr,109.9,False,,[],1,,,
23,S%C3%BCt %C3%9Cr%C3%BCnleri ve Kahvalt%C4%B1l%C4%B1k,Ariste Klasik İnek Peyniri Kg,439.9,False,,[],1,,,
